fecha,temp_media,temp_max,temp_min,humedad,lluvia,estacion
2025-12-08 10:00:00+00:00,11.3,11.5,11.3,82.0,0.0,5788X
2025-12-08 11:00:00+00:00,13.1,13.1,11.7,82.0,0.0,5788X
2025-12-08 12:00:00+00:00,15.1,15.1,13.3,74.0,0.0,5788X
2025-12-08 13:00:00+00:00,16.9,16.9,15.6,69.0,0.0,5788X
2025-12-08 14:00:00+00:00,16.9,17.1,16.8,65.0,0.0,5788X
2025-12-08 15:00:00+00:00,17.5,17.5,17.0,65.0,0.0,5788X
2025-12-08 16:00:00+00:00,16.9,17.5,16.9,63.0,0.0,5788X
2025-12-08 17:00:00+00:00,14.5,16.8,14.5,75.0,0.0,5788X
2025-12-08 18:00:00+00:00,13.3,14.2,13.3,80.0,0.0,5788X
2025-12-08 19:00:00+00:00,13.5,13.8,13.2,78.0,0.0,5788X
2025-12-08 20:00:00+00:00,11.4,12.9,11.4,88.0,0.0,5788X
2025-12-08 21:00:00+00:00,11.7,11.7,11.3,87.0,0.0,5788X
